category,word,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
highly contested,whiskey,5.72,2.6422,,,,2208.0
highly contested,pussy,4.8,2.665,2019.0,,,949.0
highly contested,fucking,4.64,2.926,448.0,,,620.0
highly contested,fuckin,3.86,2.7405,1077.0,,,688.0
highly contested,fucked,3.56,2.7117,1840.0,,,904.0
very negative,terrorism,1.48,0.9089,,,3192.0,
very negative,murder,1.48,1.015,2762.0,3110.0,1541.0,1059.0
very negative,rape,1.44,0.7866,3133.0,,4115.0,2977.0
very negative,terrorist,1.3,0.9091,3576.0,,3026.0,
very negative,suicide,1.3,0.8391,2124.0,4707.0,3319.0,2107.0
very positive,laughter,8.5,0.9313,3600.0,,,1728.0
very positive,happiness,8.44,0.9723,1853.0,2458.0,,1230.0
very positive,love,8.42,1.1082,25.0,317.0,328.0,23.0
very positive,happy,8.3,0.9949,65.0,1372.0,1313.0,375.0
very positive,laughed,8.26,1.1572,3334.0,3542.0,,2332.0
weird/corpus-specific,beloved,7.34,1.2715,,4900.0,149.0,
weird/corpus-specific,survived,6.88,1.4797,4911.0,,143.0,4680.0
weird/corpus-specific,chorus,6.4,1.2617,,,4891.0,88.0
weird/corpus-specific,wednesday,5.38,1.3384,1369.0,,235.0,4862.0
weird/corpus-specific,sorry,3.66,1.7567,345.0,3346.0,4920.0,547.0
