word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
fucking,8426.0,4.64,2.926,448.0,,,620.0
fuckin,9263.0,3.86,2.7405,1077.0,,,688.0
fucked,9469.0,3.56,2.7117,1840.0,,,904.0
pussy,8020.0,4.8,2.665,2019.0,,,949.0
whiskey,3770.0,5.72,2.6422,,,,2208.0
slut,9462.0,3.57,2.63,,,,4071.0
cigarettes,9652.0,3.31,2.5997,,,,3279.0
fuck,9043.0,4.14,2.5794,322.0,,,185.0
mortality,8797.0,4.38,2.5546,,3960.0,,
cigarette,9767.0,3.09,2.5163,,,,2678.0
motherfuckers,10050.0,2.51,2.4675,,,,1466.0
churches,3801.0,5.7,2.4599,,2281.0,,
motherfucking,9985.0,2.64,2.4558,,,,2910.0
capitalism,6390.0,5.16,2.4524,,4648.0,,
porn,9015.0,4.18,2.4302,1801.0,,,
